,taly
PlayerDetails,taly
GameCompleted,declined
Selected ponds in the game,=======
Pond2_Type,RD
Pond2_#Fishes,19
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Date:,Mon Feb 17 2020 20:30:36 GMT+0200 (Israel Standard Time)
Type,RD
FishN,16
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,7.676
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,0
Pond2Fish1_TimeLeft,1194.722
Type,RD
FishN,16
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,13.626
Pond2Fish2_PondOutcome,0
Pond2Fish2_TotalOutcome,0
Pond2Fish2_TimeLeft,1188.772
Type,RD
FishN,16
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,19.81
Pond2Fish3_PondOutcome,0
Pond2Fish3_TotalOutcome,0
Pond2Fish3_TimeLeft,1182.588
Type,RD
FishN,16
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,-1
Pond2Fish4_PondTime,26.244
Pond2Fish4_PondOutcome,0
Pond2Fish4_TotalOutcome,0
Pond2Fish4_TimeLeft,1176.154
Type,RD
FishN,16
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,-1
Pond2Fish5_PondTime,32.958
Pond2Fish5_PondOutcome,0
Pond2Fish5_TotalOutcome,0
Pond2Fish5_TimeLeft,1169.44
Type,RD
FishN,16
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,-1
Pond2Fish6_PondTime,40.011
Pond2Fish6_PondOutcome,0
Pond2Fish6_TotalOutcome,0
Pond2Fish6_TimeLeft,1162.387
