,0000000
PlayerDetails,0000000
GameCompleted,exited
GameTime,1200
FishVisibilityTime,2
SecondPerFishRatio,60
MissingThreshold,5
RD,GoldFish,Probability,0
RD,GoldFish,Outcome,20
RD,BlueFish,Probability,0.9
RD,BlueFish,Outcome,12
RD,GreenFish,Probability,0
RD,GreenFish,Outcome,11
RD,PurpleFish,Probability,0
RD,PurpleFish,Outcome,10
RD,GreyFish,Probability,0.1
RD,GreyFish,Outcome,2
RT,GoldFish,Probability,0.1
RT,GoldFish,Outcome,20
RT,BlueFish,Probability,0
RT,BlueFish,Outcome,12
RT,GreenFish,Probability,0
RT,GreenFish,Outcome,11
RT,PurpleFish,Probability,0.9
RT,PurpleFish,Outcome,10
RT,GreyFish,Probability,0
RT,GreyFish,Outcome,2
N,GoldFish,Probability,0
N,GoldFish,Outcome,20
N,BlueFish,Probability,0
N,BlueFish,Outcome,12
N,GreenFish,Probability,1
N,GreenFish,Outcome,11
N,PurpleFish,Probability,0
N,PurpleFish,Outcome,10
N,GreyFish,Probability,0
N,GreyFish,Outcome,2
Pond,1,Type,RD
Pond,1,FishN,12
Pond,2,Type,RT
Pond,2,FishN,12
Pond,3,Type,RD
Pond,3,FishN,12
Pond,4,Type,RT
Pond,4,FishN,13
Pond,5,Type,RT
Pond,5,FishN,17
Pond,6,Type,N
Pond,6,FishN,13
Pond,7,Type,RD
Pond,7,FishN,19
Pond,8,Type,N
Pond,8,FishN,15
Pond,9,Type,N
Pond,9,FishN,13
Pond,10,Type,N
Pond,10,FishN,15
Pond,11,Type,RD
Pond,11,FishN,12
Pond,12,Type,RD
Pond,12,FishN,13
Date:,Wed Dec 11 2019 19:25:48 GMT+0200 (שעון ישראל (חורף))
Type,N
FishN,13
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,1.162
Pond9Fish1_PondTime,9.264
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,11
Pond9Fish1_TimeLeft,1193.135
Type,N
FishN,13
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,0.939
Pond9Fish2_PondTime,17.081
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,22
Pond9Fish2_TimeLeft,1185.318
Type,N
FishN,13
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,-1
Pond9Fish3_PondTime,25.513
Pond9Fish3_PondOutcome,22
Pond9Fish3_TotalOutcome,22
